,ticker,1Y,5Y
0,TSLA,3.19219,1194.97041
0,TSN,31.01616,-26.9112
0,TT,113.30495,337.98492
0,TTWO,10.34677,27.4411
0,TXN,33.79579,49.52265
0,TXT,19.23436,89.34548
0,TYL,59.97873,122.86919
0,UAL,109.15772,-18.48425
0,UBER,86.94238,156.16046
0,UDR,28.26596,-12.73416
0,UHS,86.92591,60.76246
0,ULTA,-1.03999,56.90608
0,UNH,9.56727,134.28583
0,UNP,15.68637,43.86185
0,UPS,-11.35934,10.8083
0,URI,103.61231,542.03748
0,USB,53.29495,-14.71792
0,V,23.89323,62.58573
0,VICI,19.46481,38.73989
0,VLO,3.64874,45.37067
0,VLTO,57.26008,40.28536
0,VMC,28.36543,77.27614
0,VRSK,16.12163,74.68561
0,VRSN,-9.32565,-0.14404609
0,VRTX,30.0359,160.49692
0,VST,308.8429,381.9963
0,VTR,56.05695,-11.03315
0,VTRS,29.70852,-36.25344
0,VZ,39.21631,-28.06584
0,WAB,92.39417,174.24571
0,WAT,35.14042,58.96752
0,WBA,-52.41348,-80.8573
0,WBD,-25.54241,-72.73384
0,WDC,60.87061,14.77816
0,WEC,23.46951,6.60448
0,WELL,56.71768,41.04761
0,WFC,62.15805,26.87277
0,WM,35.81688,80.62591
0,WMB,49.25373,125.69444
0,WMT,50.56829,102.48058
0,WRB,45.55211,93.6231
0,WST,-22.4801,105.06139
0,WTW,42.7308,52.85451
0,WY,11.96255,12.39123
0,WYNN,9.49466,-15.82955
0,XEL,9.26787,-1.33769
0,XOM,9.7122,74.68723
0,XYL,47.8193,63.58474
0,YUM,12.8326,19.31262
0,ZBH,0.03803728,-21.1926
0,ZBRA,81.49447,81.0623
0,ZTS,13.78378,49.82206
0,ARM,203.42561,150.78189
0,ASML,21.48897,174.20036
0,AZN,22.82316,77.12717
0,CCEP,33.9875,31.72272
0,DASH,104.37107,-19.32352
0,DDOG,46.83707,319.22692
0,GFS,-25.83874,-13.77155
0,ILMN,25.06244,-52.3886
0,MDB,-20.60009,129.38049
0,MELI,77.99564,285.15897
0,MRVL,66.93186,240.67444
0,PDD,19.83876,267.23529
