,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Ticker,Industry,roce_rank,ticker,coef,r_squared,std,coef_rank,std_rank,average_score,final_score
68,1097,ANSS,Return on Capital Employed,0.1511,0.159,0.1683,0.1582,0.1658,0.1172,0.0907,0.089,0.0953,0.0994,,ANSS,Information Technology,404.0,ANSS,-0.00944727272771155,0.7109975477045897,0.0321809881762509,664.0,299.0,177.08333333333334,587.0
69,1113,AON,Return on Capital Employed,0.1346,0.137,0.1358,0.1319,0.1187,0.1544,0.1874,0.1711,0.2827,0.2916,,AON,Financials,64.0,AON,0.0170400000008017,0.6761939882757219,0.05951972446172781,75.0,551.0,47.699999999999996,20.0
70,1129,APA,Return on Capital Employed,-0.0695,-1.664,-0.0692,0.0577,0.0614,-0.1567,-0.3998,0.1991,0.5508,0.2226,,APA,Energy,128.0,APA,0.10838424242936741,0.3026763135860737,0.565853364750975,3.0,918.0,59.25,74.0
71,1145,APLS,Return on Capital Employed,-0.8493,-2.0886,-2.2866,-0.2896,-0.673,-0.9256,-0.3762,-0.9771,-1.0443,-0.9183,,APLS,Health Care,939.0,APLS,0.0,0.12709917867629528,0.6213011318193457,387.5,919.0,210.89166666666668,717.0
72,1161,APO,Return on Capital Employed,0.0158,0.0667,0.1396,0.1922,0.0274,0.1144,0.0283,0.1211,-0.2369,0.0452,,APO,Financials,654.0,APO,0.0,0.13785996938899192,0.11054291293429896,387.5,751.0,173.99166666666667,569.0
73,1177,APP,Return on Capital Employed,,,,,-0.568,0.2077,-0.0372,0.0271,-0.0063,0.1477,,APP,Information Technology,244.0,APP,,,0.25199085741792737,,880.0,,
74,1193,APTV,Return on Capital Employed,0.2578,0.2287,0.2032,0.1991,0.1659,0.1367,0.1497,0.0768,0.071,0.066,,APTV,Consumer Discretionary,550.0,APTV,-0.022057575758624243,0.9593697979531229,0.06468323507679559,761.0,590.0,224.01666666666665,760.5
75,1209,AR,Return on Capital Employed,0.1228,0.1303,-0.0812,0.0406,-0.0163,-0.0098,-0.1198,-0.0039,0.2003,0.0327,,AR,Energy,712.0,AR,0.0,0.005797821444407103,0.09352766489119678,387.5,707.0,177.59166666666667,588.0
76,1225,ARES,Return on Capital Employed,0.0022,0.0101,0.0226,0.0105,0.0071,0.0166,0.013,0.0293,0.0121,0.0309,,ARES,Financials,720.5,ARES,0.00195636363645531,0.395386312752116,0.00893646462534262,205.0,50.0,112.13333333333334,256.0
77,1241,ARMK,Return on Capital Employed,0.0698,0.0779,0.0888,0.0935,0.0735,0.0808,-0.0198,0.0233,0.054,0.1091,,ARMK,Consumer Discretionary,368.0,ARMK,0.0,0.052769767932612455,0.03589664190422274,387.5,350.0,125.34166666666668,322.0
78,1257,ATR,Return on Capital Employed,0.1679,0.1624,0.153,0.1285,0.1111,0.1311,0.1042,0.1116,0.1142,0.1298,,ATR,Materials,298.0,ATR,-0.005698181818442398,0.5809810259335664,0.021472484718820965,608.0,180.0,150.26666666666668,476.0
79,1273,NLY,Return on Capital Employed,-0.0037,0.0125,0.0239,0.0255,0.0186,0.0047,-0.0002,0.035,0.0383,0.0252,,NLY,Financials,753.5,NLY,0.0024557575758735162,0.268413999905312,0.013614756699992844,198.0,105.0,116.89999999999999,282.0
80,1289,ADSK,Return on Capital Employed,0.0822,0.0274,0.0035,-0.1898,-0.2627,0.0039,0.1178,0.1562,0.137,0.1819,0.2057,ADSK,Information Technology,179.0,ADSK,0.021923636364671078,0.20223341202006284,0.14002742731336598,53.0,802.0,67.71666666666665,102.0
81,1305,AGO,Return on Capital Employed,0.1088,0.1057,0.0794,0.0757,0.0542,0.0418,0.0346,0.0309,0.0131,0.0606,,AGO,Financials,575.0,AGO,-0.008849696970116165,0.7063468545869465,0.030244497020119214,658.0,274.0,191.83333333333337,649.0
82,1321,AGR,Return on Capital Employed,0.0566,0.0198,0.0447,0.0141,0.0366,0.0373,0.0266,0.0284,0.0328,0.0306,,AGR,Utilities,724.5,AGR,0.0,0.07943447404115278,0.011506715430564883,387.5,77.0,147.34166666666667,463.0
83,1337,AIZ,Return on Capital Employed,0.1263,0.0447,0.1754,0.0925,0.0607,0.0164,0.0219,0.0304,0.0159,0.0293,,AIZ,Financials,732.5,AIZ,-0.012458787879377806,0.4906144275397404,0.05108961244715016,695.0,481.0,224.71666666666667,763.0
84,1353,AJG,Return on Capital Employed,0.056,0.0542,0.0634,0.0584,0.0666,0.0708,0.0843,0.0694,0.0628,0.0723,,AJG,Financials,522.0,AJG,0.0019321212122144177,0.4258480470732412,0.008504210721754253,207.0,46.0,92.44999999999999,164.0
85,1369,AN,Return on Capital Employed,0.1818,0.1984,0.2111,0.1841,0.1556,0.1574,0.1236,0.3275,0.302,0.2265,,AN,Consumer Discretionary,124.0,AN,0.009271515151944148,0.1904703338273558,0.06101884954667697,132.0,564.0,64.8,96.0
86,1385,ARW,Return on Capital Employed,0.121,0.1184,0.115,0.1003,0.1244,0.0113,0.1129,0.1907,0.2199,0.1742,,ARW,Information Technology,193.0,ARW,0.009045454545886738,0.2292694127290169,0.05426056486989423,135.0,505.0,69.3,109.0
87,1401,ASH,Return on Capital Employed,0.0228,0.0535,0.0337,0.0316,0.0341,0.026,-0.0684,0.0359,0.0473,0.0321,,ASH,Materials,715.5,ASH,0.0,0.01919660232378828,0.03226456880232556,387.5,301.0,157.64166666666668,503.0
88,1417,ATO,Return on Capital Employed,0.0789,0.079,0.0805,0.0758,0.0721,0.0619,0.057,0.0561,0.0514,0.0537,,ATO,Utilities,617.0,ATO,-0.003688484848661245,0.9087689091543081,0.011113433312887607,586.0,69.0,172.58333333333334,565.0
89,1433,AVB,Return on Capital Employed,0.054,0.0543,0.0684,0.0606,0.0674,0.0527,0.0544,0.062,0.0698,0.0572,,AVB,Real Estate,595.0,AVB,0.0,0.040630181641365115,0.006218006111286801,387.5,24.0,131.74166666666667,362.0
90,1449,AVT,Return on Capital Employed,0.1284,0.1239,0.1222,0.0937,0.0353,0.0624,-0.0009,0.0447,0.1521,0.1499,0.1174,AVT,Information Technology,239.0,AVT,0.0,0.007723390435228739,0.05017348004673385,387.5,474.0,118.6416666666667,295.0
91,1465,AVTR,Return on Capital Employed,,,0.048,-0.0243,0.0465,0.0552,0.0427,0.078,0.0946,0.0605,,AVTR,Health Care,576.0,AVTR,,,0.03259658724467947,,306.0,,
